Date;Price;;;;;;;;
7/3/2018;18.714;;;;;;;;
8/3/2018;18.6605;;;;;;;;
9/3/2018;18.608;;;;;;;;
12/3/2018;18.5877;;;;;;;;
13/3/2018;18.6062;;;;;;;;
14/3/2018;18.5845;;;;;;;;
15/3/2018;18.6999;;;;;;;;
16/3/2018;18.6898;;;;;;;;
19/3/2018;18.7069;;;;;;;;
20/3/2018;18.7673;;;;;;;;
21/3/2018;18.4365;;;;;;;;
22/3/2018;18.6344;;;;;;;;
23/3/2018;18.5187;;;;;;;;
26/3/2018;18.3371;;;;;;;;
27/3/2018;18.381;;;;;;;;
28/3/2018;18.304;;;;;;;;
29/3/2018;18.187;;;;;;;;
30/3/2018;18.16;;;;;;;;
2/4/2018;18.2475;;;;;;;;
3/4/2018;18.2181;;;;;;;;
4/4/2018;18.1;;;;;;;;
5/4/2018;18.2057;;;;;;;;
6/4/2018;18.2892;;;;;;;;
9/4/2018;18.3514;;;;;;;;
10/4/2018;18.2665;;;;;;;;
11/4/2018;18.2294;;;;;;;;
12/4/2018;18.189;;;;;;;;
13/4/2018;18.0452;;;;;;;;
16/4/2018;18.012;;;;;;;;
17/4/2018;18.048;;;;;;;;
18/4/2018;18.09;;;;;;;;
19/4/2018;18.4435;;;;;;;;
20/4/2018;18.528;;;;;;;;
23/4/2018;18.944;;;;;;;;
24/4/2018;18.8195;;;;;;;;
25/4/2018;18.8475;;;;;;;;
26/4/2018;18.815;;;;;;;;
27/4/2018;18.618;;;;;;;;
30/4/2018;18.7135;;;;;;;;
1/5/2018;18.9505;;;;;;;;
2/5/2018;19.089;;;;;;;;
3/5/2018;19.0625;;;;;;;;
4/5/2018;19.2683;;;;;;;;
7/5/2018;19.466;;;;;;;;
8/5/2018;19.5695;;;;;;;;
9/5/2018;19.5715;;;;;;;;
10/5/2018;19.2255;;;;;;;;
11/5/2018;19.425;;;;;;;;
14/5/2018;19.6241;;;;;;;;
15/5/2018;19.695;;;;;;;;
16/5/2018;19.5723;;;;;;;;
17/5/2018;19.7368;;;;;;;;
18/5/2018;19.954;;;;;;;;
21/5/2018;19.819;;;;;;;;
22/5/2018;19.7735;;;;;;;;
23/5/2018;19.6325;;;;;;;;
24/5/2018;19.573;;;;;;;;
25/5/2018;19.5477;;;;;;;;
28/5/2018;19.5955;;;;;;;;
29/5/2018;19.836;;;;;;;;
30/5/2018;19.727;;;;;;;;
31/5/2018;19.9135;;;;;;;;
1/6/2018;19.9427;;;;;;;;
4/6/2018;20.077;;;;;;;;
5/6/2018;20.4605;;;;;;;;
6/6/2018;20.3012;;;;;;;;
7/6/2018;20.4785;;;;;;;;
8/6/2018;20.2895;;;;;;;;
11/6/2018;20.593;;;;;;;;
12/6/2018;20.7161;;;;;;;;
13/6/2018;20.6425;;;;;;;;
14/6/2018;20.8905;;;;;;;;
15/6/2018;20.6295;;;;;;;;
18/6/2018;20.509;;;;;;;;
19/6/2018;20.5255;;;;;;;;
20/6/2018;20.36;;;;;;;;
21/6/2018;20.326;;;;;;;;
22/6/2018;20.015;;;;;;;;
25/6/2018;19.8947;;;;;;;;
26/6/2018;19.9533;;;;;;;;
27/6/2018;20.1794;;;;;;;;
28/6/2018;19.718;;;;;;;;
29/6/2018;19.9175;;;;;;;;
